,tower,area,team,report
0,0AFtGUtC9a3vJUk9PVA,BEN,Benefits - Severance Termination Flag,1BlrZxP-_1LdpULGnJmJXhfRFvRHhQlq5
1,0AFtGUtC9a3vJUk9PVA,BEN,Benefits - ServiceNow Case Assignment,1Vy_bL0_BvGG5T_f3ibhTAmqCuGTh83G3
2,0AFtGUtC9a3vJUk9PVA,BEN,Benefits - PTO Accrual Audit,1HmrpaEpMmihss6Qpvw33mqWJxJtKEI3f
3,0AFtGUtC9a3vJUk9PVA,BEN,Benefits - Perceptive Content to ServiceNow,1iFd1UwrhrZ6ahUpPfUmBmd8nyg_uoQSO
4,0AFtGUtC9a3vJUk9PVA,BEN,Benefits - Payroll Benefits Paylines Processing,1MlGiDjJC-quR4Ck9Un4kpTn3bAMVIg_t
5,0AFtGUtC9a3vJUk9PVA,BEN,Benefits - Disconnected Events,125Fzbh_fEGBo1Dgxl0drUiMaBLMVCAc5
6,0AFtGUtC9a3vJUk9PVA,BEN,Benefits - Manual Add to Discovery,1OI-lCGczCmrdiwCH5pVFTDY9TopAtCaM
7,0AFtGUtC9a3vJUk9PVA,BEN,Benefits - Manual Keying LOA,1qf4kXEu0_Q0JvQxhYMSWVhxO7bP7PGog
8,0AFtGUtC9a3vJUk9PVA,BEN,Benefits - Open Enrollment Username Assignment,1131ytlsgPP79xc8YNCHibNOh9KltOtIT
9,0AFtGUtC9a3vJUk9PVA,CWR,CWR - Contingent Worker Manage Hire,1ujIV4ZLLRZzzD_pjBfkX4G0_x_eE2nPt
10,0AFtGUtC9a3vJUk9PVA,CWR,CWR - Contingent Worker Mass Uploads,12KRe9QvWKFVMiXa_7JABk9kOX8wX5bMI
11,0AFtGUtC9a3vJUk9PVA,CWR,CWR - Contingent Worker Terminate,1Warw2odkwoMW8XLxBOqvyWxg7R0o3i3f
12,0AFtGUtC9a3vJUk9PVA,CWR,CWR - Contingent Conversions,1feMK27HHcFrhnNLoY0HNy3ej7RHJETtF
13,0AFtGUtC9a3vJUk9PVA,EDA,EDA - Manage_Transfers,1VgkwZx5IUWUtFOqMAkEQ_sVGi-yGLrKZ
14,0AFtGUtC9a3vJUk9PVA,EDA,EDA - Mass Data Dashboard Update Audit,14nDn5f6rzNjjMN56XBmCw07oGmPcRjBQ
15,0AFtGUtC9a3vJUk9PVA,LCE,LCE - Suspension Recall Process,1qLEbXPry7Rn0XzM7KGqsadKgL_9DpY4z
16,0AFtGUtC9a3vJUk9PVA,LCE,LCE - ServiceNow Case Assignment for Perceptive Content,1HAC8o_QlITp-byWpd-p8YZiZGcwKMbss
17,0AFtGUtC9a3vJUk9PVA,LCE,LCE - Suspend Associate with Future Dated Row,1P1ZsOiK7_cR_r1tZyAZ6UVmRxPmr02M-
18,0AFtGUtC9a3vJUk9PVA,LCE,LCE - Badge Inactivation,1LRp6gQdiRFK0uH4pTdZmSMOuJDyD2p3u
19,0AFtGUtC9a3vJUk9PVA,LCE,LCE - Badge Activation,1fzkN3p2YRQT6C6xkmtfCCQjuG6y6uVLU
20,0AFtGUtC9a3vJUk9PVA,LCE,LCE - AddToProfile,1IOR0vePFBfXiXvG6I7pifRegUEeVMsen
21,0AO0JfWLVn8zHUk9PVA,LA,Late and Default Letters,1wyxK_biq-_JoiEG0ZlYd-ehh80-6rjSF
22,0AO0JfWLVn8zHUk9PVA,LA,Manual Payables and Receivables Process,1RbnD_ZB928N2WlrWR8Ln-imNCWtIdSRJ
23,0AO0JfWLVn8zHUk9PVA,LA,ServiceNow Case Assignment,1mH2uWnKQeLK1GGEbm5qiy3RdcxATRLFT
24,0AO0JfWLVn8zHUk9PVA,LA,Lease Admin Cash Application Automation,1odjuLOJnftww8wzCRAdt-nWKVph2dtv9
25,0AO0JfWLVn8zHUk9PVA,Payroll,Save Copy of Pay Stub,1cTTHhwp3zSPz8kyboMrykaVzaBxCXLz6
26,0AO0JfWLVn8zHUk9PVA,Payroll,Service Now Case Assignment,1JvbclMnCfGBtNvLOV-C9rAydNxH1TLz1
27,0AO0JfWLVn8zHUk9PVA,Payroll,ACH Processing,1Qxk1oy0cEzriIab36ivuUTFX41X7J0xC
28,0AO0JfWLVn8zHUk9PVA,Payroll,Payroll - W2 Tax Corrections,1FjRBHif8elpLdWcGl69DKPFme65J9G-d
29,0AO0JfWLVn8zHUk9PVA,Payroll,Payroll Paylines Processing,15fS0TCXDCWnEiaAgFxvzb_zBjIsAe1qZ
30,0AO0JfWLVn8zHUk9PVA,Payroll,W-2 Processing,1kMzpaiNozEk4qY082DZ6QkeMm6zQ-xn0
31,0AO0JfWLVn8zHUk9PVA,Payroll,Payroll Paylines Processing -Benefits Adjustment,1h2YmrnSzw-k17Wq52VDGF1x2v6SeWINC
32,0AO0JfWLVn8zHUk9PVA,Payroll,Audit Hour Summary,1Ue7nvnjzRJrxz8EiAgkTCOLI2HcvOXk1
33,0AO0JfWLVn8zHUk9PVA,GA,Scheduled Open Liability Report,1J2uNiV5CnEZ8VVAMscmcag3Tah9KSU7V
34,0AO0JfWLVn8zHUk9PVA,FA,ServiceNow Case Assignment,1Q1zGKxgV4offnXBOJDgShfP3mTmXLtN4
35,0AO0JfWLVn8zHUk9PVA,FA,Retirement Request,1JZJDzV5x1V1Vx_SBUVt7iiINEnaSbgNd
36,0AO0JfWLVn8zHUk9PVA,FA,Radilo Email Status,1w6oDqIZlBnPAsogGmnJi0DIQya3mdBY1
37,0AO0JfWLVn8zHUk9PVA,FA,Radilo Capitalization,1iDfNJT7BjYVDtxxuj7BGeryYCuQLP5yZ
38,0AO0JfWLVn8zHUk9PVA,FA,Project Budget Form Update Request,1bkw66fD-6RiWuvS5VSL0FyGL-Eo0zCSi
39,0AO0JfWLVn8zHUk9PVA,FA,Project Budget Form New Request,1tbXljhIyuSTHbMODlxkUpuBEK_gwYm8_
40,0AO0JfWLVn8zHUk9PVA,FA,Department Transfer Request,1GkTm361cHQ3_vIyhQBT6Bw-BCgCWhyCX
41,0AO0JfWLVn8zHUk9PVA,FA,BU Transfer and Recat Request,1FkRVlzeaq_wSFTTuSMFjpMRGTyjQ_LXR
42,0AO0JfWLVn8zHUk9PVA,FA,BlackLine Inactive User ID,1KEa552PcBlsKpRKzB2h4GNTzVN1RwYj2
43,0AO0JfWLVn8zHUk9PVA,CM,ServiceNow Case Assignment,1trRWNk1WzxjYYyIwmMVXe3alndk3yRWX
44,0AO0JfWLVn8zHUk9PVA,CM,Recurring Payment Form Request,1uZND4uY1uECotIvsLJDmJFwsjunP3dUQ
45,0AO0JfWLVn8zHUk9PVA,CM,Blackline BAI Bank Statements Reconciliation,1lrjeFUSA3bQZrOZTgAuPOH2VB1hFNEOV
46,0AO0JfWLVn8zHUk9PVA,CM,Provisional Exceptions,14qtAyjHcOq0t7NXcAjAIwSqAGnKi4XAH
47,0AO0JfWLVn8zHUk9PVA,CM,ABS JE Uploader,1mduXiacwGzTjzU_ce3qjj6yWnM-MStGi
48,0AO0JfWLVn8zHUk9PVA,CM,ACH Trace Proof of Payment,1Z0liBXRvkPceXVK_nAXiSEoRXkJzROe_
49,0AO0JfWLVn8zHUk9PVA,CM,Recurring Payment Form Cancellation Request,1BYvvob4p6sgotjsKjFJSiF_dB5P6QbD-
50,0AI0kLECkSLL4Uk9PVA,PCard,Pcard Transaction Audit Process,1_5f3VgEeZrXzBql0Uuv-Ts4PO_TDAf0j
51,0AI0kLECkSLL4Uk9PVA,WF,WF Pending Vouchers Termed,1d_Zj3F_fvbbvfnpBofs_JgLM1JiSXUaC
52,0AI0kLECkSLL4Uk9PVA,T&E,T&E ServiceNow Case Assignment,1qZtabGUa9x46StwC8FldddkqByTFs6uA
53,0AI0kLECkSLL4Uk9PVA,SP,PO GLBU Dept Updates Automation Development,1telGSyLt1Cg2PQWgy7V29bmMZAUAPpYZ
54,0AI0kLECkSLL4Uk9PVA,SP,SP ServiceNow Case assignment,17bXoFsVfIr7iqMFZqt2AzX3TsG1VFKev
55,0AI0kLECkSLL4Uk9PVA,SP,Auto Source Special Requisition,1A3KqPgLaYcW0mAe8ctzuP8XKLJvuwSlB
56,0AI0kLECkSLL4Uk9PVA,AP,Perceptive Content Document Manager,136TMfFxpzVNwPdEnZsopzqZI75vE_qQh
57,0AI0kLECkSLL4Uk9PVA,AP,Accounting Date Mass Update,1aW52Fa12do6C9CErOyQA-SpXVmka3erZ
58,0AI0kLECkSLL4Uk9PVA,AP,Amount Only Open Voucher MEs Move,1ychByremseJHGiHXXePwxmadXKUrSVDj
59,0AI0kLECkSLL4Uk9PVA,AP,ME UOM Update Same Meaning,149rBHeHzpamdOChmtOcqJdNSDd0qR7Gn
60,0AI0kLECkSLL4Uk9PVA,AP,ME UOM Conversion,1gtt4XusqaXSL-HuK56x9FMxDkSXyyXfi
61,0AI0kLECkSLL4Uk9PVA,AP,AP ServiceNow Case Assignment,1nBnHj-6Q-_joRMrM2RO-qdL7Mil0UHlJ
62,0AI0kLECkSLL4Uk9PVA,AP,Voucher Remit Update,1NdH9dn0BgnuDjGhAPoeeyTGz2Sa4Nae5
63,0AI0kLECkSLL4Uk9PVA,AP,Supervisor Approval Worklist,1jyPuY4wkjQQb7BvkSAjjxy_jXZcAWw83
64,0AI0kLECkSLL4Uk9PVA,AP,Stop Pay and Re-Issue Payment Cancellation,1QXqY_TpjsMWDy3Fz--dTf7SlHMqZzWKn
65,0AI0kLECkSLL4Uk9PVA,AP,Statement Reconciliation,157Z7vWV83HhTsqNWan3WJBN6A_-tx-7_
66,0AI0kLECkSLL4Uk9PVA,AP,Set Draw Down PO Service Flag,1F0Xqne29OSmoIPhDLbqvRkEY0v_l7ava
67,0AI0kLECkSLL4Uk9PVA,AP,RNI Data Upload,15o6zyWdp-H_qGXMM6iKPkoVuCbEbjMCn
68,0AI0kLECkSLL4Uk9PVA,AP,Re-open Closed POs,1Co6xOMOt7ylkCHfBirrQpv7jsY75R3We
69,0AI0kLECkSLL4Uk9PVA,AP,Recycles,1QfQd7m5YBPUcr5krhz4QI2GEW-hBPn_7
70,0AI0kLECkSLL4Uk9PVA,AP,Pre-Edit Missing Distribution Info,1288KqLZGC-nVaKduo7Us6736_ybweS5z
71,0AI0kLECkSLL4Uk9PVA,AP,Patient Refund Voids,1ll9QdIs8FdcRipwfG1GhyUwQHpVvD1k7
72,0AI0kLECkSLL4Uk9PVA,AP,ME Price Less Than 50 PO Update,1UAbz92TBuS257oOb37O0SDd0Y8d61E9Y
73,0AI0kLECkSLL4Uk9PVA,AP,ME Overrides,1aTC1-SiqWMz7SyUE2rnkp3X8skccIanC
74,0AI0kLECkSLL4Uk9PVA,AP,Match Exception Process Manager,1g86Td21yq871__jBiY2XFvqjoF28avHK
75,0AI0kLECkSLL4Uk9PVA,AP,Escheated Check,1b8i48Uh31MoIJCJawRKVySMZqtV5ILUx
76,0AI0kLECkSLL4Uk9PVA,AP,Email Rejection,1VasrQjkVHRIY1HpSNms-27JE9Dm_-uOl
77,0AI0kLECkSLL4Uk9PVA,AP,EDI Invoice Image Attachment,1f6s6AgN_5rlllIzitzoI_D89-Rl3vXUm
78,0AI0kLECkSLL4Uk9PVA,AP,Accounting Mismatch Hold,1-lPVAO8Qlv-LSB_4cNBIFJNdAsdPRTGN
79,0AI0kLECkSLL4Uk9PVA,PUR,OM Backorder Report to PS,1-zqrD_mB9XZ8U0C2bErP0qwflJmLWgzD
80,0AI0kLECkSLL4Uk9PVA,PUR,OOT Notes to PS Comments,1D53HV4V-7eKBEcGalfBqUjGiZQ9tGisX
81,0AI0kLECkSLL4Uk9PVA,PUR,Line Cancellation,17-KOqyJgBqzONJogeZIKFSIJ0V3IUmNT
82,0AI0kLECkSLL4Uk9PVA,PUR,EDI POA Price Update,1TFUO-2oyLlkYqoZinwSqCME85ErybJO1
