,Source,Destination,Distance
0,New Delhi,Rai Industrial haryana,48.402
1,Gurgaon,Rai Industrial haryana,82.568
2,VARANASI,Uttar Pradesh 226008,326.769
3,Varanasi,Uttar Pradesh 226008,326.769
4,Renukoot,Uttar Pradesh 226008,441.74
5,Faridabad,Rai Industrial haryana,74.265
6,Barabanki,Uttar Pradesh 226008,49.786
7,Bhinga,Uttar Pradesh 226008,192.076
8,Allahabad,Uttar Pradesh 226008,208.623
9,Jarwal Kasba,Uttar Pradesh 226008,103.475
10,Mumbai,bhumi world mumbai,12.176
11,Lucknow,Uttar Pradesh 226008,21.293
12,Gorakhpur,Uttar Pradesh 226008,291.46
13,Sarai Lahur Urf Lahurpur (Ct),Uttar Pradesh 226008,232.049
14,Bhadohi,Uttar Pradesh 226008,288.439
15,Basti,Uttar Pradesh 226008,226.484
16,Gonda,Uttar Pradesh 226008,140.542
17,Faizabad,Uttar Pradesh 226008,149.75
18,Kaushambi,Uttar Pradesh 226008,199.767
19,Phoolpur,Uttar Pradesh 226008,228.228
20,Mauranipur,Uttar Pradesh 226008,287.125
21,Jhansi,Uttar Pradesh 226008,307.371
22,Kanpur,Uttar Pradesh 226008,86.017
23,W Delhi,Rai Industrial haryana,31.211
24,Sultanpur,Uttar Pradesh 226008,172.194
25,Pratapgarh,Uttar Pradesh 226008,178.142
26,Boisar,bhumi world mumbai,114.612
27,Delhi,Rai Industrial haryana,31.211
28,Haiderpur,Rai Industrial haryana,25.546
29,Mau,Uttar Pradesh 226008,0.0
30,Azamgarh,Uttar Pradesh 226008,273.83
31,Katghar Lalganj,Uttar Pradesh 226008,288.894
32,Jaunpur,Uttar Pradesh 226008,260.261
33,Ghaziabad,Uttar Pradesh 226008,518.94
34,Haidergarh,Uttar Pradesh 226008,72.052
35,Raibareilly,Uttar Pradesh 226008,87.406
36,Noida,Rai Industrial haryana,84.36
37,Lakhimpur,Uttar Pradesh 226008,149.706
38,Shahjahanpur,Uttar Pradesh 226008,176.515
39,Bisalpur,Uttar Pradesh 226008,695.712
40,FARIDPUR (NP),Uttar Pradesh 226008,1198.897
41,Gurugram,Rai Industrial haryana,82.568
42,Badaun,Uttar Pradesh 226008,283.135
