,Measure,DT,LR,SVR,KNN,BAG,RF,ADA,GB,XGBOOST
0,1.0,,,,,,,,,
1,RMSE,42.64245902408156,58.16941115679762,42.2157661004262,52.08833107761642,52.02108992891523,44.72628571650967,43.198568634831275,99.91953465088393,42.00924412254341
2,MAPE,10.268286894326003,6.823950325598646,17.024273023801847,55.10659447130579,62.05673962418329,5.33193618890828,5.257693353262727,219.56733303672948,35.30959530832174
3,MAE,13.857563040426042,17.930745714285713,13.534810557337071,23.27176442058793,25.554240999999998,13.640170714285714,12.989189828571432,78.41170904314343,14.599536756789059
4,R2Square,0.9757658502313249,0.9549045587345513,0.9762484117541292,0.9638403522251885,0.9639336493931953,0.9733394580449928,0.9751296429799692,0.8669410440470862,0.9764802316220006
5,5.0,,,,,,,,,
6,RMSE,49.2991606988492,68.26637633295668,49.86536320347014,55.89921804980723,58.60014081581652,51.2072072627086,49.980419983763646,90.61386467227229,49.26246719914492
7,MAPE,19.18442091178447,14.821314159687965,30.142972798560688,98.67478400409807,61.5470175457946,11.857984441986957,11.171604394830753,189.879507080035,46.83963929824496
8,MAE,21.799721865205285,28.450711214285715,24.43459956176379,31.045826161629414,33.305669314285716,21.621146205952382,20.587869639761905,70.16077761307781,24.41470236201275
9,R2Square,0.9721822949435198,0.9466596393250356,0.9715396510811284,0.9642353719808759,0.9606957452412682,0.9699873441187208,0.9714081636648779,0.906020841131537,0.972223689120302
10,10.0,,,,,,,,,
11,RMSE,51.780659513055994,70.79806132245682,52.95281654947471,58.455494093481065,60.13380041803704,53.17118125313734,51.172982791224925,86.30959982324325,51.868050804305334
12,MAPE,22.633343391898382,19.71452536665174,42.774329051258334,86.11848619472678,70.65296120860683,16.3798271745854,15.653276558017645,176.30443509975404,58.11029871467242
13,MAE,25.405030590330508,32.92698533410648,29.79931552646623,35.741483616812914,36.05555563610387,24.75779507622693,23.267351331862002,67.68016724969914,29.581694277401755
14,R2Square,0.9697317567473306,0.9434158506577983,0.9683458839281278,0.9614252844907507,0.9591784619252375,0.9680842776856821,0.9704380196196084,0.9159049822949804,0.9696295018494652
15,15.0,,,,,,,,,
16,RMSE,55.49733668791568,76.97880546321136,58.208564744118924,65.55010148237797,63.14409910507627,57.041396345948456,54.73024443884609,83.8088829210337,56.57889949866791
17,MAPE,26.82790121438027,26.661174815646753,50.25377069003339,120.2696552666845,86.15141691006937,21.50255413252165,19.578178718814666,158.1354395442347,60.61683832882116
18,MAE,28.399566201889343,37.510845974146456,32.848453245113284,42.560731520681394,38.843750305633776,27.8257281007956,26.035417710896343,65.61979263181603,32.76842812747806
19,R2Square,0.9651453551781913,0.9329407467644822,0.9616566406539774,0.9513746081031214,0.9548786670737873,0.9631789071376616,0.9661022280662697,0.9205129312371383,0.9637735840394801
20,30.0,,,,,,,,,
21,RMSE,60.409310527255975,79.71767563911263,63.52249303493342,76.04015970278819,71.86915823786492,60.486057438554845,58.932970002862284,95.875040857877,62.180363747983456
22,MAPE,69.21815051536242,50.40623102530004,98.63525081938913,306.5102140034592,69.64565424068554,48.42088768188748,46.32390078031796,512.6563363040785,124.49465842283844
23,MAE,33.59100562407207,42.06950688616646,37.41212087886193,54.335022907723484,45.121886995146966,31.248490357664014,29.80890654518818,79.55012485679252,37.082706499670756
24,R2Square,0.958245623440183,0.9272884336704947,0.9538311226682336,0.9338423170896583,0.9409011048233057,0.9581394624860365,0.9602615519142383,0.8948267317899765,0.9557614623862102
