Roll_number,Lab Activities (30),Evaluation-1 (20),Evaluation-2 (20),End-Sem Lab(30),Total
205122080,26.0,16.0,20.0,30.0,92
205122098,26.0,16.0,20.0,30.0,92
205122060,25.0,16.0,20.0,30.0,91
205122062,25.0,16.0,20.0,30.0,91
205122068,25.0,16.0,20.0,30.0,91
205122064,24.0,16.0,20.0,28.0,88
205122074,24.0,16.0,20.0,28.0,88
205122102,24.0,16.0,20.0,28.0,88
205122048,24.0,16.0,18.0,28.0,86
205122002,24.0,16.0,15.0,30.0,85
205122020,24.0,15.0,18.0,26.0,83
205122072,23.0,15.0,20.0,24.0,82
205122042,23.0,15.0,20.0,22.0,80
205122052,23.0,15.0,20.0,22.0,80
205122066,23.0,15.0,20.0,22.0,80
205122070,23.0,14.0,20.0,22.0,79
205122016,23.0,15.0,18.0,22.0,78
205122032,23.0,15.0,18.0,22.0,78
205122110,23.0,15.0,18.0,22.0,78
205122004,23.0,15.0,15.0,24.0,77
205122018,25.0,16.0,15.0,20.0,76
205122054,23.0,15.0,20.0,18.0,76
205122078,23.0,14.0,15.0,24.0,76
205122090,23.0,15.0,10.0,28.0,76
205122030,23.0,14.0,16.0,22.0,75
205122046,23.0,14.0,18.0,20.0,75
205122038,23.0,15.0,12.0,24.0,74
205122022,23.0,14.0,12.0,24.0,73
205122076,23.0,14.0,8.0,28.0,73
205122010,24.0,15.0,12.0,20.0,71
205122084,24.0,15.0,10.0,22.0,71
205122082,24.0,15.0,10.0,22.0,71
205122108,23.0,15.0,15.0,16.0,69
205122096,23.0,15.0,15.0,16.0,69
205122094,23.0,15.0,13.0,18.0,69
205122012,24.0,16.0,12.0,17.0,69
205122006,23.0,15.0,12.0,18.0,68
205122086,24.0,16.0,10.0,18.0,68
205122014,24.0,15.0,12.0,17.0,68
205122100,24.0,16.0,15.0,12.0,67
205122050,24.0,15.0,15.0,12.0,66
205122056,23.0,15.0,20.0,8.0,66
205122034,24.0,15.0,15.0,12.0,66
205122028,24.0,15.0,10.0,16.0,65
205122088,23.0,14.0,10.0,16.0,63
205122112,24.0,15.0,14.0,10.0,63
205122106,23.0,15.0,12.0,12.0,62
205122008,23.0,14.0,13.0,12.0,62
205122040,24.0,15.0,8.0,12.0,59
205122026,24.0,16.0,9.0,10.0,59
205122104,24.0,15.0,14.0,6.0,59
205122036,24.0,15.0,5.0,14.0,58
205122024,24.0,15.0,11.0,8.0,58
205122114,23.0,15.0,13.0,4.0,55
205122092,24.0,15.0,5.0,10.0,54
205122044,24.0,15.0,8.0,6.0,53
