Roll_number,Lab Activities (30),Evaluation-1 (20),Evaluation-2 (20),End-Sem Lab(30),Total,Unnamed: 6,Unnamed: 7,new
205122080.0,26.0,16.0,16.0,26,84.0,,,84.0
205122098.0,26.0,16.0,17.0,25,84.0,,,84.0
205122060.0,25.0,16.0,17.0,25,83.0,,,83.0
205122062.0,25.0,16.0,17.0,25,83.0,,,83.0
205122068.0,25.0,16.0,16.0,26,83.0,S,>=81,83.0
205122064.0,24.0,16.0,19.0,24,83.0,,,83.0
205122074.0,24.0,16.0,19.0,24,83.0,,,83.0
205122102.0,24.0,16.0,20.0,23,83.0,,,83.0
205122048.0,24.0,16.0,18.0,25,83.0,,,83.0
205122002.0,24.0,16.0,15.0,28,83.0,,,83.0
205122020.0,24.0,15.0,18.0,26,83.0,,,83.0
205122070.0,23.0,14.0,20.0,19,76.0,,,76.0
205122110.0,23.0,15.0,18.0,20,76.0,,">=73, <=80",76.0
205122032.0,23.0,15.0,18.0,20,76.0,A,,76.0
205122016.0,23.0,15.0,18.0,20,76.0,,,76.0
205122042.0,23.0,15.0,19.0,19,76.0,,,76.0
205122066.0,23.0,15.0,17.0,21,76.0,,,76.0
205122052.0,23.0,15.0,18.0,20,76.0,,,76.0
205122072.0,23.0,15.0,18.0,19,75.0,,,75.0
205122046.0,23.0,14.0,18.0,19,74.0,,,74.0
205122018.0,25.0,16.0,15.0,18,74.0,,,74.0
205122054.0,23.0,15.0,18.0,18,74.0,,,74.0
205122078.0,23.0,14.0,15.0,22,74.0,,,74.0
205122038.0,23.0,15.0,12.0,24,74.0,,,74.0
205122022.0,23.0,14.0,12.0,24,73.0,,,73.0
205122076.0,23.0,14.0,8.0,28,73.0,,,73.0
205122030.0,23.0,14.0,16.0,20,73.0,,,73.0
205122090.0,23.0,15.0,10.0,25,73.0,,,73.0
205122004.0,23.0,15.0,15.0,20,73.0,,,73.0
205122010.0,24.0,15.0,12.0,20,71.0,,,71.0
205122084.0,24.0,15.0,10.0,22,71.0,,,71.0
205122082.0,24.0,15.0,10.0,22,71.0,,,71.0
205122108.0,23.0,15.0,15.0,16,69.0,,,69.0
205122096.0,23.0,15.0,15.0,16,69.0,,,69.0
205122094.0,23.0,15.0,13.0,18,69.0,,,69.0
205122012.0,24.0,16.0,12.0,17,69.0,B,,69.0
205122006.0,23.0,15.0,12.0,18,68.0,,"<=72, >=62",68.0
205122086.0,24.0,16.0,10.0,18,68.0,,,68.0
205122014.0,24.0,15.0,12.0,17,68.0,,,68.0
205122100.0,24.0,16.0,15.0,12,67.0,,,67.0
205122034.0,24.0,15.0,15.0,12,66.0,,,66.0
205122056.0,23.0,15.0,20.0,8,66.0,,,66.0
205122050.0,24.0,15.0,15.0,12,66.0,,,66.0
205122028.0,24.0,15.0,10.0,16,65.0,,,65.0
205122088.0,23.0,14.0,10.0,16,63.0,,,63.0
205122112.0,24.0,15.0,14.0,10,63.0,,,63.0
205122106.0,23.0,15.0,12.0,12,62.0,,,62.0
205122008.0,23.0,14.0,13.0,12,62.0,,,62.0
205122040.0,24.0,15.0,8.0,12,59.0,,,59.0
205122026.0,24.0,16.0,9.0,10,59.0,,,59.0
205122104.0,24.0,15.0,14.0,6,59.0,,"<=61,>=50",59.0
205122036.0,24.0,15.0,5.0,14,58.0,C,,58.0
205122024.0,24.0,15.0,11.0,8,58.0,,,58.0
205122114.0,23.0,15.0,13.0,4,55.0,,,55.0
205122092.0,24.0,15.0,5.0,10,54.0,,,54.0
205122044.0,24.0,15.0,8.0,6,53.0,,,53.0
205122058.0,0.0,0.0,0.0,0,0.0,,,0.0
,,,,,,,,
,,,,Avg,,,,
