Datum,Text,Gutschrift,Lastschrift
02.05.22,Kontostand,41533.0,406.91
03.05.22,Kontostand,19216.55,144.68
04.05.22,Kontostand,22538.2,228384.21
05.05.22,Kontostand,24260.55,437.65
06.05.22,Kontostand,20938.9,419.16
09.05.22,Kontostand,52250.6,9494.7
10.05.22,Kontostand,34745.8,19.02
11.05.22,Kontostand,22306.9,101089.27
12.05.22,Kontostand,28966.4,690.91
13.05.22,Kontostand,35150.6,181.26
16.05.22,Kontostand,75476.0,545.73
17.05.22,Kontostand,40528.7,580.27
18.05.22,Kontostand,21116.35,34.16
19.05.22,Kontostand,34605.4,868.43
20.05.22,Kontostand,22595.55,300450.35
23.05.22,Kontostand,89172.75,821.83
24.05.22,Kontostand,16225.15,3809.97
25.05.22,Kontostand,20221.5,590.25
27.05.22,Kontostand,39627.75,862.44
30.05.22,Kontostand,76852.35,254.57
31.05.22,Kontostand,18941.45,905.18
01.06.22,Kontostand,17626.5,2297.35
02.06.22,Kontostand,32888.75,620.6
03.06.22,Kontostand,19933.65,320023.64
07.06.22,Kontostand,51030.95,7685.29
08.06.22,Kontostand,18202.1,134.39
09.06.22,Kontostand,23334.2,1303.09
10.06.22,Kontostand,44075.93,169.36
13.06.22,Kontostand,57278.0,180721.34
14.06.22,Kontostand,9803.9,131.77
15.06.22,Kontostand,32399.1,21.37
16.06.22,Kontostand,53277.7,665.95
17.06.22,Kontostand,18128.3,19.68
20.06.22,Kontostand,43441.0,465.27
21.06.22,Kontostand,24786.59,22.0
22.06.22,Kontostand,22965.35,809.53
23.06.22,Kontostand,42848.4,236.72
24.06.22,Kontostand,23275.85,228.8
27.06.22,Kontostand,58697.1,338.87
28.06.22,Kontostand,18307.55,135.72
29.06.22,Kontostand,27483.65,483.03
30.06.22,Kontostand,23307.75,370733.5
01.07.22,Kontostand,29811.2,754.44
04.07.22,Kontostand,49432.7,701.6
05.07.22,Kontostand,14480.75,113.49
06.07.22,Kontostand,41109.2,160101.5
07.07.22,Kontostand,28913.85,386.07
08.07.22,Kontostand,15924.9,9798.02
11.07.22,Kontostand,30838.35,385.19
12.07.22,Kontostand,25806.25,476.93
13.07.22,Kontostand,26797.9,90201.42
14.07.22,Kontostand,18198.2,231.92
15.07.22,Kontostand,18002.15,409.42
18.07.22,Kontostand,51165.2,384.99
19.07.22,Kontostand,13372.3,506.62
20.07.22,Kontostand,21531.35,18.92
21.07.22,Kontostand,29841.35,150199.91
22.07.22,Kontostand,25538.15,3899.98
11.07.22,Kontostand,30838.35,385.19
12.07.22,Kontostand,25806.25,476.93
13.07.22,Kontostand,26797.9,90201.42
14.07.22,Kontostand,18198.2,231.92
15.07.22,Kontostand,18002.15,409.42
18.07.22,Kontostand,51165.2,384.99
19.07.22,Kontostand,13372.3,506.62
20.07.22,Kontostand,21531.35,18.92
21.07.22,Kontostand,29841.35,150199.91
